"cont_id","cnt_relation","cnt_hospital"
"1131_2",1,FALSE
"1133_1",1,FALSE
"1133_2",1,FALSE
"1134_1",1,FALSE
"1134_2",1,FALSE
"1135_1",1,FALSE
"1136_1",1,FALSE
"1137_1",1,FALSE
"1137_2",1,FALSE
"1137_3",1,FALSE
"1139_1",1,FALSE
"1139_2",1,FALSE
"1139_3",1,FALSE
"1140_1",1,FALSE
"1140_2",1,FALSE
"1141_1",1,FALSE
"1141_2",1,FALSE
"1142_1",1,FALSE
"1142_2",1,FALSE
"1143_1",1,FALSE
"1144_1",1,FALSE
"1144_2",1,FALSE
"1145_1",1,FALSE
"1145_2",1,FALSE
"1146_1",2,FALSE
"1146_2",2,FALSE
"1147_1",1,FALSE
"1148_1",1,FALSE
"1148_2",1,FALSE
"1149_1",1,FALSE
"1149_2",1,FALSE
"1150_1",1,FALSE
"1151_1",1,FALSE
"1151_2",1,FALSE
"1151_3",1,FALSE
"1152_1",1,FALSE
"1152_2",1,FALSE
"1153_1",1,FALSE
"1153_2",1,FALSE
"1153_3",1,FALSE
"1154_1",3,FALSE
"1155_1",1,FALSE
"1156_1",1,FALSE
"1156_2",1,FALSE
"1157_1",1,FALSE
"1158_1",1,FALSE
"1159_1",1,FALSE
"1160_1",1,FALSE
"1160_2",1,FALSE
"1160_3",1,FALSE
"1160_4",1,FALSE
"1161_1",1,FALSE
"1161_2",1,FALSE
"1161_3",1,FALSE
"1162_1",1,FALSE
"1162_2",1,FALSE
"1162_3",1,FALSE
"1163_1",1,FALSE
"1163_2",1,FALSE
"1164_1",1,FALSE
"1165_1",1,FALSE
"1165_2",1,FALSE
"1166_1",1,FALSE
"1167_1",1,FALSE
"1167_2",1,FALSE
"1168_1",1,FALSE
"1168_2",1,FALSE
"1169_1",1,FALSE
"1170_1",1,FALSE
"1172_1",1,FALSE
"1172_2",1,FALSE
"1174_1",3,FALSE
"1175_1",1,FALSE
"1175_2",1,FALSE
"1177_1",1,FALSE
"1177_2",1,FALSE
"1177_3",1,FALSE
"1178_1",1,FALSE
"1178_2",1,FALSE
"1179_1",1,FALSE
"1179_2",1,FALSE
"1179_3",1,FALSE
"1179_4",1,FALSE
"1181_1",1,FALSE
"1181_2",1,FALSE
"1182_1",1,FALSE
"1182_2",1,FALSE
"1182_3",1,FALSE
"1182_4",1,FALSE
"1183_1",1,FALSE
"1183_2",1,FALSE
"1183_3",1,FALSE
"1184_1",1,FALSE
"1184_2",1,FALSE
"1185_1",1,FALSE
"1185_2",1,FALSE
"1185_3",1,FALSE
"1186_1",1,FALSE
"1187_1",1,FALSE
"1189_1",1,FALSE
"1190_1",1,FALSE
"1190_2",1,FALSE
"1191_1",1,FALSE
"1191_2",1,FALSE
"1193_1",1,FALSE
"1193_2",1,FALSE
"1194_1",1,FALSE
"1194_2",1,FALSE
"1195_1",1,FALSE
"1195_2",1,FALSE
"1195_3",1,FALSE
"1196_1",1,FALSE
"1196_2",1,FALSE
"1196_3",1,FALSE
"1196_4",1,FALSE
"1197_1",1,FALSE
"1197_2",1,FALSE
"1199_1",1,FALSE
"1199_2",1,FALSE
"1200_1",1,FALSE
"1200_2",1,FALSE
"1200_3",1,FALSE
"1201_1",1,FALSE
"1202_1",1,FALSE
"1203_1",1,FALSE
"1203_2",1,FALSE
"1203_3",1,FALSE
"1204_1",1,FALSE
"1205_1",1,FALSE
"1205_2",1,FALSE
"1206_1",1,FALSE
"1206_2",1,FALSE
"1207_1",1,FALSE
"1208_1",1,FALSE
"1208_2",1,FALSE
"1208_3",1,FALSE
"1208_4",1,FALSE
"1209_1",1,FALSE
"1210_1",1,NA
"1211_1",1,FALSE
"1211_2",1,FALSE
"1212_1",1,FALSE
"1212_2",1,FALSE
"1212_3",1,FALSE
"1213_1",1,FALSE
"1213_2",1,FALSE
"1213_3",1,FALSE
"1213_4",1,FALSE
"1213_5",1,FALSE
"1214_1",1,FALSE
"1214_2",1,FALSE
"1214_3",1,FALSE
"1214_4",1,FALSE
"1215_1",1,FALSE
"1215_2",1,FALSE
"1216_1",1,FALSE
"1217_1",1,FALSE
"1217_2",1,FALSE
"1218_1",1,NA
"1218_2",1,NA
"1219_1",1,FALSE
"1219_2",1,FALSE
"1221_1",1,FALSE
"1221_2",1,FALSE
"1221_3",1,FALSE
"1222_1",1,FALSE
"1222_2",1,FALSE
"1222_3",1,FALSE
"1223_1",1,FALSE
"1223_2",1,FALSE
"1223_3",1,FALSE
"1223_4",1,FALSE
"1224_1",1,FALSE
"1224_2",1,FALSE
"1225_1",3,FALSE
"1226_1",1,FALSE
"1226_2",1,FALSE
"1227_1",1,FALSE
"1227_2",1,FALSE
"1228_1",3,FALSE
"1229_1",3,FALSE
"1229_2",1,FALSE
"1230_1",1,FALSE
"1230_2",1,FALSE
"1230_3",1,FALSE
"1230_4",1,FALSE
"1231_1",1,FALSE
"1231_2",1,FALSE
"1231_3",1,FALSE
"1232_1",1,FALSE
"1232_2",1,FALSE
"1234_1",1,FALSE
"1234_2",1,FALSE
"1234_3",1,FALSE
"1234_4",1,FALSE
"1235_1",1,FALSE
"1236_1",1,FALSE
"1237_1",1,FALSE
"1237_2",1,FALSE
"1240_1",1,FALSE
"1241_1",1,FALSE
"1241_2",1,FALSE
"1241_3",1,FALSE
"1242_1",1,FALSE
"1242_2",1,FALSE
"1244_1",1,FALSE
"1245_1",1,FALSE
"1245_2",1,FALSE
"1246_1",1,FALSE
"1246_2",1,FALSE
"1247_1",1,FALSE
"1248_1",1,FALSE
"1248_2",2,FALSE
"1248_3",2,FALSE
"1248_4",2,FALSE
"1249_1",1,FALSE
"1249_2",1,FALSE
"1250_1",1,FALSE
"1250_2",1,FALSE
"1252_1",1,FALSE
"1252_2",1,FALSE
"1253_1",1,FALSE
"1253_2",1,FALSE
"1254_1",1,FALSE
"1254_2",1,FALSE
"1255_1",1,FALSE
"1255_2",1,FALSE
"1256_1",1,FALSE
"1256_2",1,FALSE
"1257_1",1,FALSE
"1257_2",1,FALSE
"1258_1",1,FALSE
"1258_2",1,FALSE
"1260_1",1,FALSE
"1261_1",1,FALSE
"1262_1",1,FALSE
"1265_1",1,FALSE
"1265_2",1,FALSE
"1266_1",1,FALSE
"1266_2",1,FALSE
"1267_1",1,FALSE
"1267_2",1,FALSE
"1268_1",1,FALSE
"1268_2",1,FALSE
"1269_1",1,FALSE
"1269_2",1,FALSE
"1270_1",1,FALSE
"1271_1",1,FALSE
"1271_2",1,FALSE
"1271_3",1,FALSE
"1272_1",1,FALSE
"1272_2",1,FALSE
"1273_1",1,FALSE
"1273_2",1,FALSE
"1273_3",1,FALSE
"1274_1",1,FALSE
"1275_1",1,FALSE
"1275_2",1,FALSE
"1276_1",1,FALSE
"1276_2",1,FALSE
"1276_3",1,FALSE
"1276_4",1,FALSE
"1276_5",1,FALSE
"1277_1",1,FALSE
"1277_2",1,FALSE
"1277_3",1,FALSE
"1277_4",1,FALSE
"1277_5",1,FALSE
"1278_1",1,FALSE
"1281_1",1,FALSE
"1282_1",1,FALSE
"1283_1",1,FALSE
"1284_1",1,FALSE
"1284_2",1,FALSE
"1285_1",1,NA
"1285_2",1,NA
"1285_3",NA,NA
"1286_1",1,FALSE
"1286_2",1,FALSE
"1286_3",1,FALSE
"1286_4",1,FALSE
"1287_1",1,FALSE
"1287_2",1,FALSE
"1287_3",1,FALSE
"1289_1",1,FALSE
"1289_2",1,FALSE
"1290_1",1,FALSE
"1290_2",1,FALSE
"1291_1",1,FALSE
"1292_1",1,FALSE
"1292_2",1,FALSE
"1292_3",1,FALSE
"1293_1",1,FALSE
"1293_2",1,FALSE
"1294_1",1,FALSE
"1294_2",1,FALSE
"1294_3",1,FALSE
"1294_4",1,FALSE
"1295_1",1,FALSE
