"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1032,"1032_2",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1033,"1033_1",NA,0,90,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1033,"1033_2",NA,0,90,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1034,"1034_1",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1034,"1034_2",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1034,"1034_3",55,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1035,"1035_1",60,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1035,"1035_2",66,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1035,"1035_3",5,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_2",58,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_3",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_4",2,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1037,"1037_1",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1039,"1039_1",56,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,NA
1039,"1039_2",54,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,NA
1039,"1039_3",27,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,NA
1039,"1039_4",3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,1,NA
1040,"1040_1",75,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1040,"1040_2",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1040,"1040_3",23,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1041,"1041_1",65,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1041,"1041_2",39,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1041,"1041_3",12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1042,"1042_1",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1043,"1043_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1043,"1043_2",18,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1044,"1044_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1045,"1045_1",54,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1046,"1046_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1046,"1046_2",40,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,2,NA
