classe_age,0-4,5-10,11-14,15-20,21-30,31-40,41-50,51-60,61-70,71-80,>80,Count_ind
18-20,0.0,0.0,0.0,1.7222222222222223,3.888888888888889,1.4444444444444444,1.9444444444444444,1.7777777777777777,1.1111111111111112,0.2777777777777778,0.6111111111111112,18.0
21-25,0.34210526315789475,0.2578947368421053,0.14736842105263157,0.18421052631578946,2.7736842105263158,2.305263157894737,1.8736842105263158,0.9421052631578948,0.4631578947368421,0.5210526315789473,1.3526315789473684,190.0
26-30,0.378021978021978,0.16703296703296702,0.15384615384615385,0.0967032967032967,1.6505494505494505,2.2483516483516484,1.4703296703296704,1.0373626373626375,0.610989010989011,0.4879120879120879,1.2307692307692308,455.0
31-35,0.31305903398926654,0.16100178890876565,0.06976744186046512,0.1073345259391771,1.29695885509839,2.3184257602862255,1.5617173524150267,0.9534883720930233,0.5867620751341681,0.738819320214669,0.7549194991055456,559.0
36-40,0.2794348508634223,0.14913657770800628,0.11459968602825746,0.06436420722135008,1.1350078492935636,2.2119309262166404,1.642072213500785,0.9764521193092621,0.5023547880690737,0.5274725274725275,1.2700156985871272,637.0
41-45,0.3168469860896445,0.20556414219474498,0.12828438948995363,0.15765069551777433,0.7125193199381762,1.5811437403400308,1.7171561051004636,0.9428129829984544,0.517774343122102,0.4234930448222566,0.7217928902627512,647.0
46-50,0.2218798151001541,0.20955315870570107,0.12172573189522343,0.08628659476117104,0.7380585516178737,1.4514637904468413,1.7211093990755009,1.0477657935285054,0.46070878274268107,0.5161787365177196,0.6055469953775039,649.0
51-55,0.1717902350813743,0.21518987341772153,0.12115732368896925,0.21338155515370705,0.5985533453887885,1.081374321880651,1.0361663652802893,1.0343580470162748,0.3128390596745027,0.4972875226039783,1.092224231464738,553.0
56-60,0.20889748549323017,0.23210831721470018,0.10058027079303675,0.06963249516441006,0.8568665377176016,1.067698259187621,1.2707930367504836,1.1528046421663443,0.4506769825918762,0.34622823984526113,0.7794970986460348,517.0
61-65,0.21621621621621623,0.11196911196911197,0.23552123552123552,0.3861003861003861,0.8687258687258688,1.5212355212355213,1.3204633204633205,1.2162162162162162,0.6254826254826255,0.3281853281853282,0.637065637065637,259.0
66-70,0.45,0.18333333333333332,0.11666666666666667,0.11666666666666667,0.5833333333333334,0.7666666666666667,1.1833333333333333,1.0833333333333333,0.7666666666666667,0.38333333333333336,0.31666666666666665,60.0
71-75,0.5882352941176471,0.5294117647058824,0.8235294117647058,0.0,1.0,1.0588235294117647,3.1176470588235294,0.23529411764705882,0.058823529411764705,0.4117647058823529,0.058823529411764705,17.0
76-80,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,6.0
81-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
>90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
