Country,Week,Setting,Variable,Category,Mean,SE,Q25,Q50,Q75
DE,W14,1-Overall,Age group,40-49y,5.439871601,0.351255541,2,3.550029754,7
DE,W14,1-Overall,Age group,50-59y,4.209969381,0.291806604,1,3,6
DE,W14,1-Overall,Age group,60y+,2.636490501,0.14053884,1,2,3
DE,W13,1-Overall,HH size,1p,2.378051556,0.185200305,0,1,3
DE,W13,1-Overall,HH size,2p,3.474375504,0.180657895,1,2,4
DE,W13,1-Overall,HH size,3p,5.702815683,0.455368701,2,3,7
DE,W13,1-Overall,HH size,4p,5.574669793,0.395178171,3,4,6
DE,W13,1-Overall,HH size,5p,5.664018395,0.567615441,4,4,6
DE,W13,1-Overall,HH size,6p+,3.607016111,0.72350443,3,3,4
DE,W14,1-Overall,HH size,1p,3.066876033,0.206069905,0,2,4
DE,W14,1-Overall,HH size,2p,3.982863815,0.179318781,1,2,5
DE,W14,1-Overall,HH size,3p,5.20353124,0.289175031,2,3,6
DE,W14,1-Overall,HH size,4p,6.292229747,0.364526793,3,4,7
DE,W14,1-Overall,HH size,5p,6.079697996,0.607961908,4,5,7
DE,W14,1-Overall,HH size,6p+,11.79938203,3.361106486,4,6,17
DE,W13,2-Home,Sex,Females,1.358266568,0.039974403,1,1,2
DE,W13,2-Home,Sex,Males,1.432684418,0.048141518,1,1,2
DE,W14,2-Home,Sex,Females,1.533540552,0.035793464,1,1,2
DE,W14,2-Home,Sex,Males,1.470974747,0.043193781,1,1,2
DE,W13,2-Home,Age group,18-29y,1.681498229,0.081758379,1,1,3
DE,W13,2-Home,Age group,30-39y,1.73098402,0.083863835,1,2,3
DE,W13,2-Home,Age group,40-49y,1.663132138,0.082284482,1,1,3
DE,W13,2-Home,Age group,50-59y,1.394829485,0.065836324,1,1,2
DE,W13,2-Home,Age group,60y+,1.079325274,0.048794754,0,1,1
DE,W14,2-Home,Age group,18-29y,1.761121965,0.056035438,1,1,3
DE,W14,2-Home,Age group,30-39y,1.646588302,0.062804243,1,1,3
DE,W14,2-Home,Age group,40-49y,1.858975028,0.071713629,1,2,3
DE,W14,2-Home,Age group,50-59y,1.485175263,0.067191649,1,1,2
DE,W14,2-Home,Age group,60y+,1.097410388,0.046500873,1,1,1
DE,W13,2-Home,HH size,1p,0.509621129,0.045976997,0,0,1
DE,W13,2-Home,HH size,2p,1.252667617,0.031173073,1,1,1
DE,W13,2-Home,HH size,3p,2.219627501,0.056026424,2,2,3
DE,W13,2-Home,HH size,4p,3.038101658,0.079337599,3,3,4
DE,W13,2-Home,HH size,5p,3.397992405,0.269967493,4,4,4
DE,W13,2-Home,HH size,6p+,2.545118709,0.364464595,1,3,3
DE,W14,2-Home,HH size,1p,0.539994426,0.041479067,0,0,1
DE,W14,2-Home,HH size,2p,1.252248921,0.025182638,1,1,1
DE,W14,2-Home,HH size,3p,2.228703199,0.042040734,2,2,3
DE,W14,2-Home,HH size,4p,3.102178042,0.053127199,3,3,4
