"","q100_sex","count","mean","median","sd","lo","hi","lo_95","hi_95"
"1","Female",108,15.5092592592593,11,15.6303654685302,7,19.25,12.5613553270685,18.45716319145
"2","Male",105,20.3238095238095,16,18.925712687574,8,24,16.7037670628979,23.9438519847212
