"","part_age_cat","count","mean","median","sd","lo","hi","lo_95","hi_95"
"1","18-29",95,16.1052631578947,12,16.7271429846824,6,20.5,12.7415725853694,19.4689537304201
"2","30-39",60,17.1666666666667,14,12.7334693991015,8,21.75,13.9446543584188,20.3886789749146
"3","40-49",34,18.7941176470588,13,19.3010902687257,8,24.75,12.306302688382,25.2819326057357
"4","50-59",21,27.5714285714286,21,26.1774166574386,10,32,16.3751625271916,38.7676946156655
"5","60+",3,10.3333333333333,7,11.3724814061547,4,15,-2.53584086101358,23.2025075276802
