"","hh_size_cat","count","mean","median","sd","lo","hi","lo_95","hi_95"
"1","1",25,17.12,15,13.7426343908291,6,21,11.732887318795,22.507112681205
"2","2",14,12.7142857142857,10,10.0263389393872,4.5,22,7.46216819260568,17.9664032359657
"3","3",25,20.32,12,25.9546399191615,7,22,10.1457811516887,30.4942188483113
"4","4",48,15.9166666666667,11.5,16.2216473877233,6,19,11.3275361485261,20.5057971848073
"5","5",41,18.2682926829268,13,18.4892190076324,7,24,12.6087321447905,23.9278532210632
"6","6",23,17.304347826087,12,13.7193784069657,8,20,11.6973990525657,22.9112965996082
"7","7+",37,21.1891891891892,17,17.7135193783948,11,25,15.4815032802422,26.8968750981362
