RespondentID,agecat,household_N,conversation_N,language,conv_no_mask,date,natcat,place_of_contact
11447716984,35-44,4,1,FR,,26-Mar-20,,
11447717280,45-54,1,1,FR,,26-Mar-20,,
11447723153,35-44,0,0,FR,,26-Mar-20,,
11447727823,35-44,1,0,FR,,26-Mar-20,,
11447730061,35-44,3,0,FR,,26-Mar-20,,
11447731188,55-64,2,1,FR,,26-Mar-20,,
11447731598,35-44,3,1,FR,,26-Mar-20,,
11447734443,45-54,3,1,FR,,26-Mar-20,,
11447738161,25-34,1,1,FR,,26-Mar-20,,
11447739362,45-54,5 ou plus,0,FR,,26-Mar-20,,
11447742940,35-44,3,0,FR,,26-Mar-20,,
11447745739,55-64,4,0,FR,,26-Mar-20,,
11447746865,45-54,3,3,FR,,26-Mar-20,,
11447748103,25-34,2,1,FR,,26-Mar-20,,
11447748122,35-44,4,1,FR,,26-Mar-20,,
11447748168,55-64,3,4,FR,,26-Mar-20,,
11447752608,45-54,2,1,FR,,26-Mar-20,,
11447762436,45-54,1,1,FR,,26-Mar-20,,
11447765298,55-64,2,0,FR,,26-Mar-20,,
11447772024,45-54,2,0,FR,,26-Mar-20,,
11447778083,45-54,3,0,FR,,26-Mar-20,,
11447789976,65-74,1,0,FR,,26-Mar-20,,
11447794636,55-64,1,0,FR,,26-Mar-20,,
11447800927,45-54,1,0,FR,,26-Mar-20,,
11447805712,35-44,1,0,FR,,26-Mar-20,,
11447808335,35-44,2,1,FR,,26-Mar-20,,
11447808933,55-64,1,0,FR,,26-Mar-20,,
11447810973,35-44,3,0,FR,,26-Mar-20,,
11447813864,35-44,3,1,FR,,26-Mar-20,,
11447818710,35-44,2,0,FR,,26-Mar-20,,
11447821053,35-44,3,0,FR,,26-Mar-20,,
11447834348,18-24,3,0,FR,,26-Mar-20,,
11447841663,35-44,4,1,FR,,26-Mar-20,,
11447853862,45-54,1,1,FR,,26-Mar-20,,
11447855974,45-54,2,0,FR,,26-Mar-20,,
11447869598,65-74,2,0,FR,,26-Mar-20,,
11447869712,55-64,3,2,FR,,26-Mar-20,,
11447878244,35-44,1,2,FR,,26-Mar-20,,
11447881151,35-44,2,0,FR,,26-Mar-20,,
11447884541,55-64,1,0,FR,,26-Mar-20,,
11447885020,35-44,5 ou plus,0,FR,,26-Mar-20,,
11447887180,45-54,4,0,FR,,26-Mar-20,,
11447895917,45-54,3,0,FR,,26-Mar-20,,
11447899426,35-44,1,0,FR,,26-Mar-20,,
11447900254,55-64,1,1,FR,,26-Mar-20,,
11447901175,75-84,2,1,FR,,26-Mar-20,,
11447902782,35-44,2,2,FR,,26-Mar-20,,
11447903883,25-34,1,0,FR,,26-Mar-20,,
11447904309,45-54,4,0,FR,,26-Mar-20,,
11447908033,35-44,2,0,FR,,26-Mar-20,,
11447914379,45-54,3,0,FR,,26-Mar-20,,
11447916369,65-74,0,0,FR,,26-Mar-20,,
11447917401,18-24,4,0,FR,,26-Mar-20,,
11447924847,25-34,2,0,FR,,26-Mar-20,,
11447925464,65-74,2,0,FR,,26-Mar-20,,
11447936235,35-44,5 ou plus,0,FR,,26-Mar-20,,
11447936252,55-64,1,0,FR,,26-Mar-20,,
11447937504,13-17,4,10 ou plus,FR,,26-Mar-20,,
11447954151,45-54,4,0,FR,,26-Mar-20,,
11447954152,65-74,1,0,FR,,26-Mar-20,,
11447963280,35-44,4,1,FR,,26-Mar-20,,
11447963790,35-44,3,0,FR,,26-Mar-20,,
11447965834,45-54,1,10 ou plus,FR,,26-Mar-20,,
11447969606,45-54,3,2,FR,,26-Mar-20,,
11447969924,55-64,2,1,FR,,26-Mar-20,,
11447994348,55-64,0,9-Jun,FR,,26-Mar-20,,
11447997240,25-34,1,0,FR,,26-Mar-20,,
11448006259,45-54,0,0,FR,,26-Mar-20,,
11448007575,55-64,0,0,FR,,26-Mar-20,,
11448008769,35-44,4,0,FR,,26-Mar-20,,
11448009189,55-64,3,0,FR,,26-Mar-20,,
11448009424,25-34,2,0,FR,,26-Mar-20,,
11448009988,45-54,1,0,FR,,26-Mar-20,,
11448011851,55-64,3,0,FR,,26-Mar-20,,
11448024962,35-44,4,10 ou plus,FR,,26-Mar-20,,
11448039131,45-54,5 ou plus,0,FR,,26-Mar-20,,
